,teks,label
346,Bersyukur banget punya *support system* yang *always got my back no matter what*.,Bersyukur
347,"Walaupun cuma hal kecil, tapi *it made my day*. *Thankful for small things*.",Bersyukur
348,"Habis *deep talk* sama sahabat, hati jadi lebih lega. *Grateful for true friends*.",Bersyukur
349,"Ngerasa *so content and peaceful right now*. Gak minta banyak, cuma ketenangan kayak gini.",Bersyukur
350,Dikasih kesehatan itu *literally the biggest wealth*. Jangan lupa bersyukur *guys*.,Bersyukur
351,Lihat orang tua senyum aja udah bikin hati adem. *Forever grateful for them*.,Bersyukur
352,"Selesai ngerjain tugas berat, rasanya *so relieved and thankful*. Akhirnya!",Bersyukur
353,"Meskipun banyak rintangan, tapi selalu ada jalan keluar. *God is good, all the time*.",Bersyukur
354,"Bisa menikmati makanan enak hari ini, *such a simple yet profound blessing*.",Bersyukur
355,"Bersyukur atas semua pelajaran hidup, *they made me who I am today*.",Bersyukur
356,"Pagi ini bangun dengan perasaan ringan dan bahagia. *Thank you, universe*.",Bersyukur
357,Dikelilingi orang-orang yang positif itu *truly a gift*. Bersyukur banget.,Bersyukur
358,"Walaupun belum semua keinginan tercapai, tapi gue bersyukur sama apa yang udah gue punya sekarang. *It's enough*.",Bersyukur
359,"Asli, pengen gue banting nih HP, lemotnya kebangetan!",Marah
360,"Apaan sih nih orang, nyolot banget ngomongnya, bikin naik pitam!",Marah
361,"Udah dibilangin baik-baik malah ngeyel, sumpah emosi gue!",Marah
362,"Gue gak habis pikir sama kelakuan lo, bikin darah tinggi aja!",Marah
363,"Bete maksimal, semua serba salah hari ini, pengen ngamuk!",Marah
364,"Kerjaan gak kelar-kelar, deadline mepet, rasanya pengen teriak!",Marah
365,"Sial banget hari ini, udah jatuh ketimpa tangga pula!",Marah
366,"Ini sinyal kenapa ilang-ilangan mulu sih, bikin frustrasi!",Marah
367,"Udah nunggu berjam-jam, eh malah dicancel seenaknya, kampret!",Marah
368,"Aturan baru ini nyusahin banget, gak mikir apa ya yang bikin?!",Marah
369,"Macetnya parah gila, telat gue gara-gara ini, arrrgh!",Marah
370,Kenapa sih nasib gue apes terus? Kesel banget sumpah!,Marah
371,"Udah begadang ngerjain tugas, eh filenya corrupt, pengen nangis marah!",Marah
372,"Itu orang komennya pedes banget, gak pake filter apa ya mulutnya!",Marah
373,Pengen jedotin kepala ke tembok saking keselnya!,Marah
374,"Dompet tipis, tanggal tua, eh ada aja pengeluaran dadakan, emosi!",Marah
375,"Cuaca gak nentu gini bikin mood swing parah, jadi gampang marah!",Marah
376,"Tetangga sebelah nyetel musik kenceng banget, ganggu banget anjir!",Marah
377,"Rencana udah mateng, eh ada aja yang bikin gagal total, sialan!",Marah
378,"Capek banget sama drama picisan yang gak penting ini, bikin eneg!",Marah
379,"Hati gue remuk redam, nyesek banget ditinggal pas lagi sayang-sayangnya.",Sedih
380,Kenapa sih dia tega bohongin gue kayak gini?,Sedih
381,"Galau berat, rasanya dunia runtuh seketika.",Sedih
382,Harapan gue buat balikan sama dia udah gak ada lagi.,Sedih
383,"Pengen nyerah aja sama keadaan, udah gak sanggup lagi.",Sedih
384,"Kangen banget masa-masa indah dulu, sekarang semua tinggal kenangan.",Sedih
385,"Nilai ujian anjlok padahal udah mati-matian belajar, sedih banget.",Sedih
386,"Ngerasa kesepian banget, gak ada yang ngertiin perasaan gue.",Sedih
387,"Nonton film sedih, eh malah ikutan nangis bombay.",Sedih
388,Kehilangan sahabat tuh rasanya kayak kehilangan separuh jiwa.,Sedih
389,"Udah berjuang keras, tapi hasilnya nihil, sedihnya gak ketulungan.",Sedih
390,"Kadang mikir, kenapa ya gue selalu gagal dalam percintaan?",Sedih
391,"Mau curhat tapi bingung mau cerita ke siapa, akhirnya nangis sendiri di kamar.",Sedih
392,"Liat postingan mantan sama pacar barunya, auto nyesek.",Sedih
393,"Gagal dapet kerjaan impian, rasanya down banget.",Sedih
394,Di-ghosting tanpa penjelasan itu sakitnya tuh di sini.,Sedih
395,"Dengerin lagu galau sambil hujan-hujan, paket komplit kesedihan.",Sedih
396,"Ekspektasi terlalu tinggi, pas jatuh sakitnya gak main-main.",Sedih
397,Rasanya pengen menghilang aja dari dunia ini.,Sedih
398,"Lagi gak pengen diganggu, mau menyendiri dulu nenangin hati.",Sedih
399,"Wihuuu! Akhirnya dapet tiket konser idola, senengnya gak ketulungan!",Senang
400,"Asik banget, weekend ini mau liburan ke pantai, yeay!",Senang
401,"Gilaaa, menang giveaway dapet HP baru, rejeki anak baik nih!",Senang
402,"Hari ini seru abis, banyak ketawa bareng temen-temen!",Senang
403,"Alhamdulillah, akhirnya lulus juga dengan predikat cumlaude, bangga banget!",Senang
404,"Akhirnya bisa me time, nonton drakor maraton, bahagia itu sederhana!",Senang
405,"Dikasih surprise ulang tahun sama keluarga, terharu plus seneng banget!",Senang
406,"Gak nyangka bisa ketemu artis favorit pas lagi ngopi, mimpi apa coba!",Senang
407,"Sidang skripsi lancar jaya, dosen pembimbing muji-muji, seneng pol!",Senang
408,"Timnas menang lawan tim kuat, auto teriak kegirangan!",Senang
409,"Dapet bonus akhir tahun, lumayan buat nambah tabungan, hehe!",Senang
410,"Yeay, barang yang diincer dari lama akhirnya kebeli juga!",Senang
411,"Hangout bareng geng emang paling seru, ngakak sampe sakit perut.",Senang
412,Dapet nilai A buat mata kuliah paling susah? Mantap jiwa!,Senang
413,Akhirnya kesampean juga nonton festival musik yang udah diimpi-impiin!,Senang
414,Bisa ngebantu nenek nyebrang jalan aja udah bikin hati seneng.,Senang
415,"Selamat ya buat kalian yang baru jadian, ikut bahagia deh ngeliatnya!",Senang
416,"Abis dapet THR, langsung traktir keluarga makan enak, seru!",Senang
417,"Pagi ini udaranya seger banget, bikin semangat seharian!",Senang
418,"Nemu barang yang udah lama ilang, senengnya kayak nemu harta karun!",Senang
419,"Aduh, mikirin presentasi besok di depan klien gede bikin mules.",Stress
420,"Gimana nih ujian masuk universitas, saingannya banyak banget, deg-degan!",Stress
421,Mikirin cicilan KPR yang belum lunas bikin kepala puyeng.,Stress
422,"Cemas banget nungguin hasil interview kerja, semoga diterima.",Stress
423,"Kerjaan overload, dikejar deadline dari bos, stres tingkat dewa!",Stress
424,"Duh, mau pidato di acara nikahan temen, grogi parah nih.",Stress
425,"Overthinking sebelum tidur itu emang penyakit, bikin insomnia.",Stress
426,Takut banget gak bisa menuhi ekspektasi orang-orang terdekat.,Stress
427,"Ini jantung kenapa berdebar kenceng banget ya, padahal gak ngapa-ngapain.",Stress
428,Mikirin masa depan yang serba gak pasti kadang bikin cemas berlebihan.,Stress
429,"Tugas kuliah numpuk kayak gunung, bingung mau ngerjain yang mana dulu.",Stress
430,"Kok akhir-akhir ini jadi sering lupa naruh barang ya, kebanyakan pikiran nih.",Stress
431,"Perut kembung tiap mau ujian penting, udah langganan kayaknya.",Stress
432,"Berharap masalah ini cepet selesai, udah gak tahan sama tekanannya.",Stress
433,Pusing tujuh keliling ngadepin drama kantor yang gak ada habisnya.,Stress
434,"Kayaknya butuh refreshing ke tempat sepi deh, otak udah konslet.",Stress
435,Kenapa sih semua orang kayaknya punya standar tinggi banget buat gue?,Stress
436,"Gelisah nungguin balesan chat dari dosen, penting banget soalnya.",Stress
437,"Badan remuk, pikiran suntuk, fix butuh pijet plus liburan.",Stress
438,Tiap mau ambil keputusan besar pasti ada aja rasa was-wasnya.,Stress
439,"Alhamdulillah, project yang dikerjain berbulan-bulan akhirnya goal juga, lega.",Bersyukur
440,"Makasih ya Allah, masih dikasih napas buat ngejalanin hari ini dengan baik.",Bersyukur
441,"Untung banget tadi gak jadi lewat jalan itu, ternyata ada kecelakaan.",Bersyukur
442,"Syukurlah, kesalahpahaman kemarin udah clear, hubungan jadi baik lagi.",Bersyukur
443,"Setelah melewati badai, akhirnya bisa ngerasain kedamaian lagi. Bersyukur.",Bersyukur
444,"Akhirnya bisa bukber bareng temen-temen SMA, kangennya terobati, alhamdulillah.",Bersyukur
445,"Walaupun cuma makan indomie, tapi kalo bareng orang tersayang nikmatnya luar biasa.",Bersyukur
446,"Dikasih kesempatan buat belajar hal baru itu anugerah, patut disyukuri.",Bersyukur
447,"Liat anak-anak kecil ketawa riang, itu udah cukup bikin hati adem dan bersyukur.",Bersyukur
448,"Setiap kegagalan pasti ada pelajaran berharga, syukuri aja proses pendewasaannya.",Bersyukur
449,Bersyukur banget dikelilingi orang-orang yang tulus dan suportif.,Bersyukur
450,"Terima kasih Tuhan atas rejeki yang gak pernah berhenti mengalir, sekecil apapun itu.",Bersyukur
451,"Selamat dari insiden kecil di jalan tadi pagi, alhamdulillah masih dijaga.",Bersyukur
452,"Meski sering ngeluh, tapi kalo dipikir-pikir banyak banget hal yang bisa disyukuri.",Bersyukur
453,"Akhirnya bisa ngelunasin utang ke temen, plong banget rasanya, alhamdulillah.",Bersyukur
454,"Bangun pagi disambut kicau burung, hal sederhana yang bikin bersyukur.",Bersyukur
455,"Dapet traktiran kopi dari temen pas lagi pengen banget, rejeki emang gak kemana.",Bersyukur
456,Bersyukur masih punya pekerjaan di saat banyak yang lagi susah nyari kerja.,Bersyukur
457,Melihat orang lain bahagia karena bantuan kita itu rasanya nyenengin dan bikin bersyukur.,Bersyukur
458,"Walau hidup gak selalu mulus, tapi selalu ada alasan buat bilang 'alhamdulillah'.",Bersyukur
559,"Fix no debat, ini orang ngeselinnya udah level dewa!",Marah
560,Gue udah capek banget ngadepin tingkah lo yang minus akhlak ini!,Marah
561,"Anjirrr, kenapa sih idup gue gini amat, pengen misuh-misuh!",Marah
562,Nih provider internet apa gak niat jualan? Lemotnya bikin istighfar!,Marah
563,"Plis deh, jangan bikin gue ngeluarin tanduk pagi-pagi!",Marah
564,"Mood gue ancur lebur gara-gara lo, tanggung jawab woy!",Marah
565,Ini kerjaan apa siksaan? Bikin pengen resign detik ini juga!,Marah
566,"Sumpah, pengen gue sleding tekel orang yang bikin aturan ribet ini!",Marah
567,"Udah dandan maksimal, eh acaranya batal, kan syaland!",Marah
568,Kenapa sih orang julid itu ada di mana-mana? Pengen gue semprot baygon!,Marah
569,"Gue lagi PMS apa gimana sih, bawaannya pengen ngegas mulu!",Marah
570,"Ini tim kerja apa sirkus? Gak ada yang bener, bikin puyeng!",Marah
571,"Kalo ngomong tuh dipikir dulu, jangan asal njeplak bikin sakit ati!",Marah
572,"Gue udah berusaha sabar, tapi kesabaran gue ada batasnya, bangke!",Marah
573,"Awas aja ya kalo ketemu lagi, gue gibeng lo!",Marah
574,Rasanya pengen teriak sekenceng-kencengnya biar plong!,Marah
575,Ini kenapa sih semua orang kayaknya sengaja banget bikin gue emosi?!,Marah
576,"Udah cukup ya, gue gak mau denger bacotan lo lagi!",Marah
577,Pengen gue unfriend semua orang di muka bumi ini rasanya!,Marah
578,"Sumpah, hari ini gue declar sebagai hari termenyebalkan sedunia!",Marah
579,"Nyeseknya tuh di sini, di hati yang paling dalem, hiks.",Sedih
580,Kenapa sih takdir sekejam ini sama gue? Gak adil!,Sedih
581,Rasanya pengen jadi amuba aja biar gak ngerasain sakit hati.,Sedih
582,"Udah move on, eh dia dateng lagi bawa kenangan, kan sedih lagi.",Sedih
583,Lagi di fase 'pura-pura bahagia padahal hati menangis'.,Sedih
584,Denger lagu ini langsung auto galau tingkat kecamatan.,Sedih
585,"Kenangan sama dia tuh kayak permen karet, susah ilangnya.",Sedih
586,"Gue cuma butuh pundak buat nangis, ada yang mau minjemin?",Sedih
587,"Kadang suka iri liat orang lain bahagia, kapan ya giliran gue?",Sedih
588,"Pengen tidur aja biar lupa sama semua masalah, tapi gak bisa.",Sedih
589,"Rasanya kayak jalan di tempat, gak ada kemajuan sama sekali.",Sedih
590,"Udah capek-capek berjuang, eh malah dia milih yang lain, ambyar.",Sedih
591,"Hati gue tuh bukan tempat penitipan barang, dateng pergi seenaknya.",Sedih
592,"Lagi pengen menyendiri, meratapi nasib yang gak jelas ini.",Sedih
593,Kenapa sih orang yang kita sayang malah nyakitin kita?,Sedih
594,Air mata udah kering saking seringnya nangis.,Sedih
595,"Pengen teriak 'AKU GAK KUAT!', tapi malu.",Sedih
596,Semua janji manisnya ternyata cuma omong kosong belaka.,Sedih
597,"Rasanya kayak ada batu gede yang ngeganjel di dada, sesek.",Sedih
598,"Lagi butuh pelukan hangat, tapi gak ada yang bisa meluk.",Sedih
599,"Yasss Queen! Akhirnya project gue di-approve, senengnya to the max!",Senang
600,"Gokil parah, dapet kejutan liburan gratis ke Bali, aaaa!",Senang
601,"Fix, hari ini mood gue lagi bagus banget, jangan dirusak ya!",Senang
602,"Ketemu cogan pas lagi jogging, auto senyum-senyum sendiri.",Senang
603,"Alhamdulillah, dapet rejeki nomplok, bisa traktir temen se-geng!",Senang
604,"Akhirnya bisa nonton konser K-Pop idola, pecah banget semalem!",Senang
605,Dapet pujian dari crush? Melting abis gueee!,Senang
606,"Wih, menang lomba desain, bangganya bukan main!",Senang
607,"Lulus ujian SIM setelah gagal berkali-kali, akhirnya!",Senang
608,"Tim e-sport favorit juara dunia, teriak-teriak kegirangan di rumah!",Senang
609,"Dapet diskon gede pas lagi belanja online, bahagia itu simpel.",Senang
610,"Yeay, akhirnya bisa beli barang impian pake duit sendiri!",Senang
611,"Ngumpul bareng keluarga besar pas lebaran, seru dan hangat banget.",Senang
612,"Dikasih hadiah yang udah lama gue pengenin, speechless saking senengnya.",Senang
613,"Akhirnya bisa traveling ke luar negeri, impian dari kecil!",Senang
614,Bisa bikin orang tua bangga itu rasanya priceless banget.,Senang
615,"Cieee yang baru dapet promosi jabatan, selamat ya, ikut seneng!",Senang
616,"Abis dapet bonus, langsung foya-foya dikit, self reward itu penting.",Senang
617,"Cuaca mendukung buat piknik, hati jadi ikutan cerah.",Senang
618,"Nemu playlist lagu yang pas banget sama mood, auto joget!",Senang
619,"Duh, presentasi di depan direksi besok, auto keringet dingin plus mules.",Stress
620,Mikirin masa depan yang burem bikin anxiety kumat.,Stress
621,"Tagihan kartu kredit numpuk, gaji belum turun, pusing pala berbi.",Stress
622,"Cemas nungguin pengumuman kelulusan, takut zonk.",Stress
623,"Kerjaan kayak gak ada abisnya, pengen cuti tapi gak bisa, help!",Stress
624,Mau ngomong di depan umum tuh rasanya kayak mau pingsan.,Stress
625,Overthinking tiap malem itu udah jadi ritual wajib sebelum tidur.,Stress
626,"Takut banget ngecewain harapan keluarga, beban mental banget.",Stress
627,"Ini jantung maraton mulu tiap ada notif dari dia, kenapa sih.",Stress
628,Mikirin omongan tetangga yang julid bikin kepala berasap.,Stress
629,"Tugas akhir makin deket deadline-nya, otak udah nge-freeze.",Stress
630,"Sering banget blank pas lagi dibutuhin, kebanyakan beban pikiran nih.",Stress
631,"Perut melilit tiap mau ketemu calon mertua, udah kayak mau ujian negara.",Stress
632,Kapan ya semua masalah ini kelar? Udah capek banget lahir batin.,Stress
633,Pusing ngadepin drama pertemanan yang ribetnya ngalahin sinetron.,Stress
634,Butuh healing ke tempat yang gak ada sinyal biar otak istirahat.,Stress
635,Kenapa sih ekspektasi orang lain ke gue tuh setinggi langit?,Stress
636,Gelisah nungguin kepastian hubungan yang digantungin gini.,Stress
637,"Badan udah kayak robot, kaku semua, butuh dipijet plus hibernasi.",Stress
638,Tiap mau ambil risiko pasti ada aja suara-suara negatif di kepala.,Stress
639,"Alhamdulillah, akhirnya bisa napas lega setelah semua ujian selesai.",Bersyukur
640,"Makasih semesta, hari ini dikasih banyak kemudahan dan kelancaran.",Bersyukur
641,Untung banget tadi sempet nge-charge HP sebelum mati total pas lagi butuh.,Bersyukur
642,"Syukurlah, salah paham sama doi udah kelar, baikan lagi deh.",Bersyukur
643,"Setelah semua drama dan air mata, akhirnya bisa senyum lagi. Bersyukur pol.",Bersyukur
644,"Akhirnya bisa reuni sama temen-temen SD, nostalgia parah, alhamdulillah.",Bersyukur
645,"Walaupun cuma nasi telor, tapi dimasakin orang tua tuh rasanya bintang lima.",Bersyukur
646,Dikasih kesempatan buat memperbaiki diri itu anugerah terindah.,Bersyukur
647,Liat kucing kampung lahiran dengan selamat aja udah bikin hati anget.,Bersyukur
648,"Setiap masalah pasti ada jalan keluarnya, syukuri aja proses belajarnya.",Bersyukur
649,Bersyukur banget punya support system yang selalu ada kapanpun dibutuhin.,Bersyukur
650,"Terima kasih diri sendiri udah bertahan sejauh ini, kamu hebat!",Bersyukur
651,"Selamat dari macet parah tadi pagi, alhamdulillah gak telat ngantor.",Bersyukur
652,"Meski kadang pengen nyerah, tapi selalu ada hal kecil yang bikin bersyukur lagi.",Bersyukur
653,"Akhirnya bisa beli kado buat orang tua dari hasil kerja keras sendiri, bangga!",Bersyukur
654,"Bangun tidur denger suara adzan, adem banget rasanya, alhamdulillah.",Bersyukur
655,"Dapet rekomendasi series bagus pas lagi gabut, rejeki anak mager.",Bersyukur
656,Bersyukur masih bisa kerja dari rumah di saat cuaca lagi gak nentu.,Bersyukur
657,Melihat orang lain tersenyum karena kebaikan kecil kita itu nagih banget.,Bersyukur
658,"Walau keinginan belum semua tercapai, tapi kebutuhan selalu tercukupi. Alhamdulillah.",Bersyukur
